"索引","DMM-1 时间 (s)","DMM-1 电压 (V)"
"566","100.709353","0.07406373"
"567","101.220288","0.07346828"
"568","101.3696132","0.07428767"
"569","101.5197664","0.08397801"
"570","101.6711376","0.1528564"
"571","101.8209904","0.8279936"
"572","101.9725315","0.8459092"
"573","102.1212939","0.8460321"
"574","102.2695558","0.8454086"
"575","102.4191567","0.8451571"
"576","102.5691374","0.8433816"
"577","102.7216684","0.09767286"
"578","103.2211213","0.0685123"
"579","103.3699136","0.07523739"
"580","103.516129","0.0795497"
"581","103.6619981","0.08175851"
"582","103.8098435","0.08170603"
"583","103.9579052","0.080883"
"584","104.1051328","0.07981006"
"585","104.2539401","0.07874603"
"586","104.400818","0.07766861"
"587","104.5463838","0.07674807"
"588","104.6937769","0.07581978"
"589","105.0916569","0.07824574"
"590","105.2369431","0.1084983"
"591","105.3831831","0.7226479"
"592","105.5306861","0.8413028"
"593","105.6773645","0.8446638"
"594","105.8227942","0.8447132"
"595","105.9681676","0.8442417"
"596","106.1140498","0.8440108"
"597","106.2612179","0.8417227"
"598","106.4075269","0.8185065"
"599","106.5545333","0.4942009"
"600","106.700291","0.07530542"
"601","107.1836492","0.0806769"
"602","107.3312873","0.08284389"
"603","107.4780338","0.08301073"
"604","107.6250993","0.08285663"
"605","107.7716012","0.08152033"
"606","107.9195927","0.08011431"
"607","108.066185","0.07906083"
"608","108.2133222","0.07811847"
"609","108.3604137","0.07728075"
"610","108.5072048","0.07668728"
"611","108.6536931","0.07683807"
"612","109.1304972","0.8223802"
"613","109.2785311","0.8431923"
"614","109.4273029","0.8435607"
"615","109.57711","0.8430829"
"616","109.7280498","0.8427745"
"617","109.8811677","0.840608"
"618","110.0305899","0.8170526"
"619","110.1790524","0.4856239"
"620","110.3260742","0.135714"
"621","110.4731699","0.06408222"
"622","110.6207061","0.0702611"
"623","111.0947754","0.08062275"
"624","111.2418764","0.08042526"
"625","111.3889355","0.07978866"
"626","111.5365562","0.07884835"
"627","111.6837726","0.07785641"
"628","111.8304546","0.07696711"
"629","111.9769674","0.07606766"
"630","112.123898","0.07520699"
"631","112.2707699","0.07498405"
"632","112.4182117","0.07703295"
"633","112.5658374","0.09999835"
"634","112.7133608","0.8418773"
"635","113.2076817","0.8416973"
"636","113.3553429","0.841309"
"637","113.5032303","0.8410258"
"638","113.6533991","0.8316581"
"639","113.8042171","0.6867267"
"640","113.9533322","0.2079795"
"641","114.1065649","0.06917162"
"642","114.2575172","0.06704828"
"643","114.4054461","0.07477177"
"644","114.5564526","0.07891715"
"645","114.7075743","0.07896551"
"646","115.2191178","0.07792857"
"647","115.370296","0.07707564"
"648","115.5205539","0.07633777"
"649","115.6696738","0.07536982"
"650","115.8170333","0.07518153"
"651","115.9642113","0.07661478"
"652","116.1135585","0.09504164"
"653","116.2598715","0.3820839"
"654","116.4076923","0.8321968"
"655","116.5546176","0.8407677"
"656","116.7004542","0.8402874"
"657","117.1616374","0.8398628"
"658","117.3096237","0.8280887"
"659","117.4574967","0.6571846"
"660","117.6047506","0.1979569"
"661","117.7523532","0.07075103"
"662","117.8979456","0.06778311"
"663","118.0442703","0.0754566"
"664","118.1912683","0.08034214"
"665","118.3372623","0.08227011"
"666","118.4846977","0.0834801"
"667","118.6305487","0.0825168"
"668","119.1020068","0.07891732"
"669","119.249342","0.07780378"
"670","119.3986074","0.076918"
"671","119.5465708","0.07706819"
"672","119.6944004","0.08105857"
"673","119.8421029","0.1137538"
"674","119.990195","0.7834725"
"675","120.1367695","0.8372852"
"676","120.2823408","0.839275"
"677","120.4304186","0.8394165"
"678","120.5792946","0.8389391"
"679","120.7294022","0.5637138"
"680","121.2306339","0.1524134"
"681","121.3783014","0.06457437"
"682","121.5256017","0.06758942"
"683","121.6757741","0.07457362"
"684","121.824269","0.07878551"
"685","121.9769768","0.08031266"
"686","122.1269269","0.08049215"
"687","122.2759217","0.08001058"
"688","122.4248536","0.07936098"
"689","122.5732985","0.07851488"
"690","122.7238773","0.07620406"
"691","123.2467476","0.07668111"
"692","123.3979164","0.08440412"
"693","123.5471279","0.1198083"
"694","123.6987516","0.8170309"
"695","123.8465176","0.8376123"
"696","123.9923368","0.838372"
"697","124.1390768","0.837999"
"698","124.2857632","0.8376623"
"699","124.4327088","0.8366387"
"700","124.5783696","0.8202958"
"701","124.7252686","0.06355599"
"702","125.2074091","0.06861651"
"703","125.3589584","0.07598798"
"704","125.5116156","0.07871854"
"705","125.659656","0.07968981"
"706","125.8075531","0.0795761"
"707","125.9549821","0.07891505"
"708","126.1036595","0.07801265"
"709","126.2540681","0.07698943"
"710","126.4044604","0.07659481"
"711","126.553081","0.07536512"
"712","126.7011365","0.07472172"
"713","127.2236405","0.701127"
"714","127.3732408","0.8331848"
"715","127.5219107","0.8367889"
"716","127.6716762","0.8369995"
"717","127.8208939","0.8364853"
"718","127.969914","0.8363495"
"719","128.118285","0.8357159"
"720","128.2686514","0.8216723"
"721","128.415488","0.6289082"
"722","128.5642338","0.1772734"
"723","128.7112496","0.06733001"
"724","129.2163915","0.07885969"
"725","129.366439","0.08016846"
"726","129.5155526","0.08014225"
"727","129.6622767","0.07984466"
"728","129.8103632","0.07911479"
"729","129.9584975","0.0783232"
"730","130.1064594","0.07739978"
"731","130.2551188","0.07650846"
"732","130.4005602","0.07616045"
"733","130.5485678","0.07820904"
"734","130.6947281","0.0944141"
"735","131.1676682","0.8358154"
"736","131.3146537","0.8362"
"737","131.4599095","0.8355907"
"738","131.6071854","0.8354246"
"739","131.7545549","0.8277969"
"740","131.9013571","0.7311038"
